Econs;Eprod;full_date
3.2345;0.0;2024-01-18 00:00:00
3.187;0.0;2024-01-18 00:15:00
3.097;0.0;2024-01-18 00:30:00
3.5105;0.0;2024-01-18 00:45:00
4.2185;0.0;2024-01-18 01:00:00
3.107;0.0;2024-01-18 01:15:00
2.958;0.0;2024-01-18 01:30:00
3.126;0.0;2024-01-18 01:45:00
3.282;0.0;2024-01-18 02:00:00
2.939;0.0;2024-01-18 02:15:00
2.901;0.0;2024-01-18 02:30:00
3.357;0.0;2024-01-18 02:45:00
2.832;0.0;2024-01-18 03:00:00
2.9015;0.0;2024-01-18 03:15:00
3.9395;0.0;2024-01-18 03:30:00
4.0625;0.0;2024-01-18 03:45:00
4.0635;0.0;2024-01-18 04:00:00
4.108;0.0;2024-01-18 04:15:00
3.981;0.0;2024-01-18 04:30:00
3.6295;0.0;2024-01-18 04:45:00
3.6735;0.0;2024-01-18 05:00:00
4.1265;0.0;2024-01-18 05:15:00
6.7185;0.0;2024-01-18 05:30:00
8.031;0.0;2024-01-18 05:45:00
9.782;0.0;2024-01-18 06:00:00
12.874;0.0;2024-01-18 06:15:00
16.598;0.0;2024-01-18 06:30:00
18.899;0.0;2024-01-18 06:45:00
20.891;0.0;2024-01-18 07:00:00
30.608;0.0;2024-01-18 07:15:00
37.852;0.0;2024-01-18 07:30:00
35.6255;0.0;2024-01-18 07:45:00
35.5725;0.0;2024-01-18 08:00:00
32.6935;0.0;2024-01-18 08:15:00
31.8755;0.0;2024-01-18 08:30:00
32.0335;0.0;2024-01-18 08:45:00
30.7955;0.0;2024-01-18 09:00:00
28.45;0.0205833333333333;2024-01-18 09:15:00
27.392;0.043;2024-01-18 09:30:00
30.061;0.275416666666667;2024-01-18 09:45:00
29.099;0.457583333333333;2024-01-18 10:00:00
29.969;0.669;2024-01-18 10:15:00
31.692;0.553083333333333;2024-01-18 10:30:00
36.4215;1.01975;2024-01-18 10:45:00
35.3855;1.68033333333333;2024-01-18 11:00:00
32.5755;1.63666666666667;2024-01-18 11:15:00
35.7465;2.78716666666667;2024-01-18 11:30:00
34.473;2.20816666666667;2024-01-18 11:45:00
40.236;2.96366666666667;2024-01-18 12:00:00
41.756;2.79333333333333;2024-01-18 12:15:00
34.633;3.77591666666667;2024-01-18 12:30:00
33.1285;3.93491666666667;2024-01-18 12:45:00
35.7375;4.90375;2024-01-18 13:00:00
36.0865;4.87;2024-01-18 13:15:00
31.2405;2.98858333333333;2024-01-18 13:30:00
24.738;2.79991666666667;2024-01-18 13:45:00
17.959;1.94233333333333;2024-01-18 14:00:00
23.5405;0.903916666666667;2024-01-18 14:15:00
28.2655;1.37391666666667;2024-01-18 14:30:00
28.463;1.2945;2024-01-18 14:45:00
29.0;1.28758333333333;2024-01-18 15:00:00
30.899;1.41808333333333;2024-01-18 15:15:00
26.41;1.04766666666667;2024-01-18 15:30:00
21.626;1.26116666666667;2024-01-18 15:45:00
22.135;1.50816666666667;2024-01-18 16:00:00
27.106;1.89358333333333;2024-01-18 16:15:00
27.986;1.47983333333333;2024-01-18 16:30:00
22.1635;1.48825;2024-01-18 16:45:00
21.8715;1.14233333333333;2024-01-18 17:00:00
23.2915;0.777;2024-01-18 17:15:00
26.1505;0.585;2024-01-18 17:30:00
26.9925;0.282333333333333;2024-01-18 17:45:00
26.9495;0.15975;2024-01-18 18:00:00
31.234;0.0416666666666667;2024-01-18 18:15:00
27.711;0.0;2024-01-18 18:30:00
25.9725;0.0;2024-01-18 18:45:00
30.1525;0.0;2024-01-18 19:00:00
30.5775;0.0;2024-01-18 19:15:00
31.2125;0.0;2024-01-18 19:30:00
21.54;0.0;2024-01-18 19:45:00
16.3;0.0;2024-01-18 20:00:00
13.701;0.0;2024-01-18 20:15:00
11.358;0.0;2024-01-18 20:30:00
5.268;0.0;2024-01-18 20:45:00
4.536;0.0;2024-01-18 21:00:00
4.6665;0.0;2024-01-18 21:15:00
4.0975;0.0;2024-01-18 21:30:00
4.5505;0.0;2024-01-18 21:45:00
4.4435;0.0;2024-01-18 22:00:00
4.092;0.0;2024-01-18 22:15:00
4.441;0.0;2024-01-18 22:30:00
4.266;0.0;2024-01-18 22:45:00
4.217;0.0;2024-01-18 23:00:00
4.1655;0.0;2024-01-18 23:15:00
4.2465;0.0;2024-01-18 23:30:00
4.2305;0.0;2024-01-18 23:45:00
2.663;0.0;2024-01-15 00:00:00
3.0735;0.0;2024-01-15 00:15:00
2.6945;0.0;2024-01-15 00:30:00
2.8235;0.0;2024-01-15 00:45:00
2.6265;0.0;2024-01-15 01:00:00
2.692;0.0;2024-01-15 01:15:00
3.36;0.0;2024-01-15 01:30:00
2.952;0.0;2024-01-15 01:45:00
2.606;0.0;2024-01-15 02:00:00
2.57;0.0;2024-01-15 02:15:00
2.665;0.0;2024-01-15 02:30:00
2.72;0.0;2024-01-15 02:45:00
2.456;0.0;2024-01-15 03:00:00
2.7185;0.0;2024-01-15 03:15:00
2.5245;0.0;2024-01-15 03:30:00
2.5745;0.0;2024-01-15 03:45:00
2.3305;0.0;2024-01-15 04:00:00
2.588;0.0;2024-01-15 04:15:00
3.011;0.0;2024-01-15 04:30:00
2.5405;0.0;2024-01-15 04:45:00
2.7435;0.0;2024-01-15 05:00:00
2.7795;0.0;2024-01-15 05:15:00
7.2365;0.0;2024-01-15 05:30:00
7.6135;0.0;2024-01-15 05:45:00
11.0475;0.0;2024-01-15 06:00:00
17.357;0.0;2024-01-15 06:15:00
14.87;0.0;2024-01-15 06:30:00
18.4935;0.0;2024-01-15 06:45:00
19.3885;0.0;2024-01-15 07:00:00
23.868;0.0;2024-01-15 07:15:00
20.5;0.0;2024-01-15 07:30:00
14.974;0.0;2024-01-15 07:45:00
14.176;0.0;2024-01-15 08:00:00
16.918;0.0;2024-01-15 08:15:00
16.163;0.0;2024-01-15 08:30:00
15.7655;0.0;2024-01-15 08:45:00
14.9075;0.0;2024-01-15 09:00:00
16.044;0.0;2024-01-15 09:15:00
23.886;0.0;2024-01-15 09:30:00
16.428;0.0;2024-01-15 09:45:00
24.931;0.237;2024-01-15 10:00:00
34.1865;1.15341666666667;2024-01-15 10:15:00
37.2825;0.9865;2024-01-15 10:30:00
38.389;1.70391666666667;2024-01-15 10:45:00
38.259;1.67841666666667;2024-01-15 11:00:00
39.7425;2.58958333333333;2024-01-15 11:15:00
40.3455;2.73233333333333;2024-01-15 11:30:00
36.0655;3.06833333333333;2024-01-15 11:45:00
34.8125;3.858;2024-01-15 12:00:00
34.091;3.662;2024-01-15 12:15:00
30.773;3.68083333333333;2024-01-15 12:30:00
39.776;1.67308333333333;2024-01-15 12:45:00
35.87;2.27008333333333;2024-01-15 13:00:00
31.513;4.10458333333333;2024-01-15 13:15:00
26.994;3.87675;2024-01-15 13:30:00
24.5785;3.61233333333333;2024-01-15 13:45:00
23.8905;4.02416666666667;2024-01-15 14:00:00
28.013;3.73025;2024-01-15 14:15:00
27.869;4.47433333333333;2024-01-15 14:30:00
28.731;3.81241666666667;2024-01-15 14:45:00
31.804;6.35291666666667;2024-01-15 15:00:00
28.49;6.33458333333333;2024-01-15 15:15:00
26.574;5.02808333333333;2024-01-15 15:30:00
32.9335;5.46066666666667;2024-01-15 15:45:00
32.2505;5.56275;2024-01-15 16:00:00
31.258;4.03933333333333;2024-01-15 16:15:00
26.521;4.20825;2024-01-15 16:30:00
21.6045;2.27108333333333;2024-01-15 16:45:00
21.3445;3.18333333333333;2024-01-15 17:00:00
24.4105;2.06241666666667;2024-01-15 17:15:00
21.3395;1.17175;2024-01-15 17:30:00
26.504;0.67;2024-01-15 17:45:00
27.771;0.26875;2024-01-15 18:00:00
26.6875;0.0250833333333333;2024-01-15 18:15:00
20.5525;0.0;2024-01-15 18:30:00
19.7375;0.0;2024-01-15 18:45:00
17.6975;0.0;2024-01-15 19:00:00
17.2505;0.0;2024-01-15 19:15:00
17.1845;0.0;2024-01-15 19:30:00
13.683;0.0;2024-01-15 19:45:00
5.426;0.0;2024-01-15 20:00:00
3.563;0.0;2024-01-15 20:15:00
3.101;0.0;2024-01-15 20:30:00
3.0395;0.0;2024-01-15 20:45:00
3.0575;0.0;2024-01-15 21:00:00
2.891;0.0;2024-01-15 21:15:00
2.568;0.0;2024-01-15 21:30:00
2.609;0.0;2024-01-15 21:45:00
2.529;0.0;2024-01-15 22:00:00
2.69;0.0;2024-01-15 22:15:00
2.498;0.0;2024-01-15 22:30:00
3.0605;0.0;2024-01-15 22:45:00
3.8605;0.0;2024-01-15 23:00:00
4.15;0.0;2024-01-15 23:15:00
3.336;0.0;2024-01-15 23:30:00
3.557;0.0;2024-01-15 23:45:00
5.0775;0.0;2024-01-12 00:00:00
5.054;0.0;2024-01-12 00:15:00
5.136;0.0;2024-01-12 00:30:00
5.054;0.0;2024-01-12 00:45:00
5.102;0.0;2024-01-12 01:00:00
5.0595;0.0;2024-01-12 01:15:00
5.0445;0.0;2024-01-12 01:30:00
5.0795;0.0;2024-01-12 01:45:00
5.1345;0.0;2024-01-12 02:00:00
4.978;0.0;2024-01-12 02:15:00
4.918;0.0;2024-01-12 02:30:00
4.773;0.0;2024-01-12 02:45:00
4.868;0.0;2024-01-12 03:00:00
4.9015;0.0;2024-01-12 03:15:00
4.6705;0.0;2024-01-12 03:30:00
4.791;0.0;2024-01-12 03:45:00
4.923;0.0;2024-01-12 04:00:00
4.696;0.0;2024-01-12 04:15:00
4.699;0.0;2024-01-12 04:30:00
4.757;0.0;2024-01-12 04:45:00
4.894;0.0;2024-01-12 05:00:00
4.7255;0.0;2024-01-12 05:15:00
6.9445;0.0;2024-01-12 05:30:00
10.241;0.0;2024-01-12 05:45:00
10.747;0.0;2024-01-12 06:00:00
22.667;0.0;2024-01-12 06:15:00
30.039;0.0;2024-01-12 06:30:00
33.467;0.0;2024-01-12 06:45:00
34.94;0.0;2024-01-12 07:00:00
33.231;0.0;2024-01-12 07:15:00
33.84;0.0;2024-01-12 07:30:00
34.2545;0.0;2024-01-12 07:45:00
34.8025;0.0;2024-01-12 08:00:00
33.9055;0.0;2024-01-12 08:15:00
35.4575;0.0;2024-01-12 08:30:00
43.323;0.0;2024-01-12 08:45:00
37.159;0.0201666666666667;2024-01-12 09:00:00
31.6985;0.172833333333333;2024-01-12 09:15:00
30.8865;0.542083333333333;2024-01-12 09:30:00
31.516;1.06558333333333;2024-01-12 09:45:00
29.109;2.42383333333333;2024-01-12 10:00:00
30.725;3.207;2024-01-12 10:15:00
38.915;2.77208333333333;2024-01-12 10:30:00
42.615;5.33508333333333;2024-01-12 10:45:00
39.628;6.71733333333333;2024-01-12 11:00:00
42.279;7.54975;2024-01-12 11:15:00
44.494;8.248;2024-01-12 11:30:00
44.4755;9.06341666666667;2024-01-12 11:45:00
43.2075;10.3656666666667;2024-01-12 12:00:00
53.062;11.28925;2024-01-12 12:15:00
50.74;11.6798333333333;2024-01-12 12:30:00
42.4165;12.0795833333333;2024-01-12 12:45:00
45.7215;12.4495;2024-01-12 13:00:00
38.4575;12.9604166666667;2024-01-12 13:15:00
32.9305;13.07875;2024-01-12 13:30:00
28.893;13.0404166666667;2024-01-12 13:45:00
25.532;12.88675;2024-01-12 14:00:00
32.599;12.714;2024-01-12 14:15:00
32.671;11.4823333333333;2024-01-12 14:30:00
31.167;12.0249166666667;2024-01-12 14:45:00
31.635;11.512;2024-01-12 15:00:00
30.496;10.4285;2024-01-12 15:15:00
25.9;9.778;2024-01-12 15:30:00
26.8595;8.97091666666667;2024-01-12 15:45:00
26.2745;8.072;2024-01-12 16:00:00
24.3055;6.96766666666667;2024-01-12 16:15:00
22.8845;5.95416666666667;2024-01-12 16:30:00
26.9105;4.7405;2024-01-12 16:45:00
29.8305;3.41958333333333;2024-01-12 17:00:00
30.898;2.21166666666667;2024-01-12 17:15:00
26.263;1.47333333333333;2024-01-12 17:30:00
27.207;0.654166666666667;2024-01-12 17:45:00
29.499;0.286166666666667;2024-01-12 18:00:00
22.781;0.0364166666666667;2024-01-12 18:15:00
20.643;0.0;2024-01-12 18:30:00
19.023;0.0;2024-01-12 18:45:00
18.761;0.0;2024-01-12 19:00:00
7.0485;0.0;2024-01-12 19:15:00
6.6915;0.0;2024-01-12 19:30:00
5.3875;0.0;2024-01-12 19:45:00
5.3995;0.0;2024-01-12 20:00:00
5.4335;0.0;2024-01-12 20:15:00
5.3965;0.0;2024-01-12 20:30:00
5.479;0.0;2024-01-12 20:45:00
5.452;0.0;2024-01-12 21:00:00
5.0955;0.0;2024-01-12 21:15:00
4.9265;0.0;2024-01-12 21:30:00
4.982;0.0;2024-01-12 21:45:00
5.01;0.0;2024-01-12 22:00:00
4.777;0.0;2024-01-12 22:15:00
4.598;0.0;2024-01-12 22:30:00
4.546;0.0;2024-01-12 22:45:00
4.627;0.0;2024-01-12 23:00:00
4.4395;0.0;2024-01-12 23:15:00
4.4315;0.0;2024-01-12 23:30:00
4.808;0.0;2024-01-12 23:45:00
2.723;0.0;2024-01-06 00:00:00
4.007;0.0;2024-01-06 00:15:00
4.476;0.0;2024-01-06 00:30:00
3.624;0.0;2024-01-06 00:45:00
3.155;0.0;2024-01-06 01:00:00
3.2945;0.0;2024-01-06 01:15:00
3.6575;0.0;2024-01-06 01:30:00
4.364;0.0;2024-01-06 01:45:00
3.709;0.0;2024-01-06 02:00:00
3.082;0.0;2024-01-06 02:15:00
3.774;0.0;2024-01-06 02:30:00
3.925;0.0;2024-01-06 02:45:00
4.351;0.0;2024-01-06 03:00:00
3.362;0.0;2024-01-06 03:15:00
3.135;0.0;2024-01-06 03:30:00
4.1485;0.0;2024-01-06 03:45:00
4.3095;0.0;2024-01-06 04:00:00
4.106;0.0;2024-01-06 04:15:00
3.076;0.0;2024-01-06 04:30:00
3.706;0.0;2024-01-06 04:45:00
4.119;0.0;2024-01-06 05:00:00
4.576;0.0;2024-01-06 05:15:00
3.541;0.0;2024-01-06 05:30:00
3.376;0.0;2024-01-06 05:45:00
4.085;0.0;2024-01-06 06:00:00
4.6225;0.0;2024-01-06 06:15:00
4.3505;0.0;2024-01-06 06:30:00
3.105;0.0;2024-01-06 06:45:00
3.743;0.0;2024-01-06 07:00:00
4.254;0.0;2024-01-06 07:15:00
4.362;0.0;2024-01-06 07:30:00
4.6325;0.0;2024-01-06 07:45:00
4.4595;0.0;2024-01-06 08:00:00
4.5405;0.0;2024-01-06 08:15:00
4.5775;0.0;2024-01-06 08:30:00
4.268;0.0;2024-01-06 08:45:00
3.934;0.0188333333333333;2024-01-06 09:00:00
3.8565;0.315;2024-01-06 09:15:00
4.8975;1.60708333333333;2024-01-06 09:30:00
3.49;0.63425;2024-01-06 09:45:00
2.751;0.90675;2024-01-06 10:00:00
4.867;1.654;2024-01-06 10:15:00
5.9;3.57216666666667;2024-01-06 10:30:00
5.576;2.54408333333333;2024-01-06 10:45:00
7.621;6.44158333333333;2024-01-06 11:00:00
7.883;6.65416666666667;2024-01-06 11:15:00
8.622;7.80266666666667;2024-01-06 11:30:00
9.5515;8.64716666666667;2024-01-06 11:45:00
9.1145;3.44666666666667;2024-01-06 12:00:00
11.134;3.64691666666667;2024-01-06 12:15:00
9.446;4.367;2024-01-06 12:30:00
8.4385;6.71341666666667;2024-01-06 12:45:00
11.4935;4.20225;2024-01-06 13:00:00
10.0225;4.69958333333333;2024-01-06 13:15:00
9.8945;3.633;2024-01-06 13:30:00
10.762;3.88808333333333;2024-01-06 13:45:00
10.179;3.83525;2024-01-06 14:00:00
11.779;4.23216666666667;2024-01-06 14:15:00
6.059;5.42916666666667;2024-01-06 14:30:00
4.8675;2.53141666666667;2024-01-06 14:45:00
6.1435;3.90625;2024-01-06 15:00:00
6.102;4.18058333333333;2024-01-06 15:15:00
5.713;5.0565;2024-01-06 15:30:00
8.2805;3.24783333333333;2024-01-06 15:45:00
7.5565;7.08933333333333;2024-01-06 16:00:00
5.81;5.49666666666667;2024-01-06 16:15:00
6.462;5.48691666666667;2024-01-06 16:30:00
4.864;4.65566666666667;2024-01-06 16:45:00
3.519;2.539;2024-01-06 17:00:00
3.56;1.51908333333333;2024-01-06 17:15:00
3.895;0.940166666666667;2024-01-06 17:30:00
3.933;0.3955;2024-01-06 17:45:00
3.317;0.1525;2024-01-06 18:00:00
2.6005;8.33333333333333e-05;2024-01-06 18:15:00
2.9695;0.0;2024-01-06 18:30:00
2.8385;0.0;2024-01-06 18:45:00
2.7725;0.0;2024-01-06 19:00:00
3.5255;0.0;2024-01-06 19:15:00
4.2695;0.0;2024-01-06 19:30:00
4.4655;0.0;2024-01-06 19:45:00
3.4395;0.0;2024-01-06 20:00:00
3.1275;0.0;2024-01-06 20:15:00
3.8695;0.0;2024-01-06 20:30:00
4.156;0.0;2024-01-06 20:45:00
4.398;0.0;2024-01-06 21:00:00
4.0805;0.0;2024-01-06 21:15:00
3.3485;0.0;2024-01-06 21:30:00
3.5715;0.0;2024-01-06 21:45:00
4.2345;0.0;2024-01-06 22:00:00
4.392;0.0;2024-01-06 22:15:00
4.457;0.0;2024-01-06 22:30:00
4.095;0.0;2024-01-06 22:45:00
3.196;0.0;2024-01-06 23:00:00
3.7085;0.0;2024-01-06 23:15:00
4.4205;0.0;2024-01-06 23:30:00
4.9545;0.0;2024-01-06 23:45:00
4.4485;0.0;2024-01-07 00:00:00
4.419;0.0;2024-01-07 00:15:00
4.501;0.0;2024-01-07 00:30:00
4.28;0.0;2024-01-07 00:45:00
4.663;0.0;2024-01-07 01:00:00
4.1185;0.0;2024-01-07 01:15:00
4.5735;0.0;2024-01-07 01:30:00
4.4295;0.0;2024-01-07 01:45:00
4.4195;0.0;2024-01-07 02:00:00
4.4595;0.0;2024-01-07 02:15:00
4.5705;0.0;2024-01-07 02:30:00
4.602;0.0;2024-01-07 02:45:00
4.124;0.0;2024-01-07 03:00:00
4.567;0.0;2024-01-07 03:15:00
4.508;0.0;2024-01-07 03:30:00
4.437;0.0;2024-01-07 03:45:00
4.327;0.0;2024-01-07 04:00:00
4.5745;0.0;2024-01-07 04:15:00
4.2475;0.0;2024-01-07 04:30:00
4.615;0.0;2024-01-07 04:45:00
4.351;0.0;2024-01-07 05:00:00
4.9145;0.0;2024-01-07 05:15:00
4.9085;0.0;2024-01-07 05:30:00
4.352;0.0;2024-01-07 05:45:00
4.689;0.0;2024-01-07 06:00:00
4.438;0.0;2024-01-07 06:15:00
4.606;0.0;2024-01-07 06:30:00
4.418;0.0;2024-01-07 06:45:00
4.446;0.0;2024-01-07 07:00:00
4.619;0.0;2024-01-07 07:15:00
4.507;0.0;2024-01-07 07:30:00
4.736;0.0;2024-01-07 07:45:00
4.382;0.0;2024-01-07 08:00:00
4.668;0.0;2024-01-07 08:15:00
4.438;0.0;2024-01-07 08:30:00
4.3055;0.0;2024-01-07 08:45:00
4.1745;0.0281666666666667;2024-01-07 09:00:00
3.641;0.201166666666667;2024-01-07 09:15:00
4.29;0.639583333333333;2024-01-07 09:30:00
4.6485;1.50241666666667;2024-01-07 09:45:00
5.5605;2.59366666666667;2024-01-07 10:00:00
6.401;3.78225;2024-01-07 10:15:00
6.601;3.97541666666667;2024-01-07 10:30:00
7.467;5.50475;2024-01-07 10:45:00
7.968;6.45725;2024-01-07 11:00:00
8.5965;7.36091666666667;2024-01-07 11:15:00
8.6005;8.03058333333333;2024-01-07 11:30:00
9.457;8.72858333333333;2024-01-07 11:45:00
10.076;9.527;2024-01-07 12:00:00
10.994;10.9209166666667;2024-01-07 12:15:00
9.617;4.18191666666667;2024-01-07 12:30:00
9.8825;9.43983333333333;2024-01-07 12:45:00
11.8205;3.90891666666667;2024-01-07 13:00:00
11.9435;3.97175;2024-01-07 13:15:00
12.3095;4.28458333333333;2024-01-07 13:30:00
11.8855;4.13125;2024-01-07 13:45:00
10.6085;8.36775;2024-01-07 14:00:00
6.5485;3.72891666666667;2024-01-07 14:15:00
6.6255;4.79425;2024-01-07 14:30:00
9.048;7.44983333333333;2024-01-07 14:45:00
7.927;6.36666666666667;2024-01-07 15:00:00
9.9775;3.53775;2024-01-07 15:15:00
10.0785;9.8095;2024-01-07 15:30:00
9.17;8.86383333333333;2024-01-07 15:45:00
8.371;7.60766666666667;2024-01-07 16:00:00
8.1815;7.01075;2024-01-07 16:15:00
6.4525;5.53208333333333;2024-01-07 16:30:00
4.6275;3.92616666666667;2024-01-07 16:45:00
5.2805;2.79233333333333;2024-01-07 17:00:00
5.0665;1.95283333333333;2024-01-07 17:15:00
4.2205;0.971166666666667;2024-01-07 17:30:00
2.499;0.381333333333333;2024-01-07 17:45:00
2.797;0.148833333333333;2024-01-07 18:00:00
3.59;0.00708333333333333;2024-01-07 18:15:00
3.518;0.0;2024-01-07 18:30:00
4.325;0.0;2024-01-07 18:45:00
3.545;0.0;2024-01-07 19:00:00
3.1745;0.0;2024-01-07 19:15:00
4.1045;0.0;2024-01-07 19:30:00
4.5245;0.0;2024-01-07 19:45:00
4.5045;0.0;2024-01-07 20:00:00
3.232;0.0;2024-01-07 20:15:00
3.286;0.0;2024-01-07 20:30:00
4.5615;0.0;2024-01-07 20:45:00
4.6025;0.0;2024-01-07 21:00:00
4.508;0.0;2024-01-07 21:15:00
4.67;0.0;2024-01-07 21:30:00
4.1475;0.0;2024-01-07 21:45:00
3.3005;0.0;2024-01-07 22:00:00
3.77;0.0;2024-01-07 22:15:00
4.654;0.0;2024-01-07 22:30:00
4.287;0.0;2024-01-07 22:45:00
4.613;0.0;2024-01-07 23:00:00
4.4845;0.0;2024-01-07 23:15:00
4.5495;0.0;2024-01-07 23:30:00
4.324;0.0;2024-01-07 23:45:00
3.265;0.0;2024-02-09 00:00:00
2.977;0.0;2024-02-09 00:15:00
3.42;0.0;2024-02-09 00:30:00
3.0295;0.0;2024-02-09 00:45:00
3.0545;0.0;2024-02-09 01:00:00
2.529;0.0;2024-02-09 01:15:00
3.277;0.0;2024-02-09 01:30:00
3.1805;0.0;2024-02-09 01:45:00
3.4295;0.0;2024-02-09 02:00:00
2.6995;0.0;2024-02-09 02:15:00
3.1055;0.0;2024-02-09 02:30:00
2.629;0.0;2024-02-09 02:45:00
2.911;0.0;2024-02-09 03:00:00
2.97;0.0;2024-02-09 03:15:00
3.266;0.0;2024-02-09 03:30:00
3.351;0.0;2024-02-09 03:45:00
3.146;0.0;2024-02-09 04:00:00
2.503;0.0;2024-02-09 04:15:00
2.888;0.0;2024-02-09 04:30:00
2.1115;0.0;2024-02-09 04:45:00
2.6035;0.0;2024-02-09 05:00:00
2.331;0.0;2024-02-09 05:15:00
2.637;0.0;2024-02-09 05:30:00
6.596;0.0;2024-02-09 05:45:00
8.933;0.0;2024-02-09 06:00:00
11.25;0.0;2024-02-09 06:15:00
13.887;0.0;2024-02-09 06:30:00
28.7055;0.0;2024-02-09 06:45:00
30.4945;0.0;2024-02-09 07:00:00
31.6995;0.0;2024-02-09 07:15:00
31.9635;0.0;2024-02-09 07:30:00
32.956;0.0;2024-02-09 07:45:00
30.901;0.0;2024-02-09 08:00:00
29.0995;0.0;2024-02-09 08:15:00
29.4385;0.0;2024-02-09 08:30:00
29.352;0.0;2024-02-09 08:45:00
35.365;0.128;2024-02-09 09:00:00
35.5035;0.629083333333333;2024-02-09 09:15:00
32.0495;0.775;2024-02-09 09:30:00
25.5875;1.56516666666667;2024-02-09 09:45:00
15.1945;1.47766666666667;2024-02-09 10:00:00
12.972;1.49333333333333;2024-02-09 10:15:00
13.929;2.37508333333333;2024-02-09 10:30:00
25.18;3.03016666666667;2024-02-09 10:45:00
35.484;2.25108333333333;2024-02-09 11:00:00
36.096;2.57075;2024-02-09 11:15:00
36.453;2.05941666666667;2024-02-09 11:30:00
32.2825;1.52608333333333;2024-02-09 11:45:00
27.9965;1.29625;2024-02-09 12:00:00
28.726;1.31775;2024-02-09 12:15:00
30.497;1.34175;2024-02-09 12:30:00
32.145;0.73875;2024-02-09 12:45:00
29.649;1.36575;2024-02-09 13:00:00
24.152;1.56633333333333;2024-02-09 13:15:00
15.168;1.81791666666667;2024-02-09 13:30:00
8.911;2.47233333333333;2024-02-09 13:45:00
7.046;1.59675;2024-02-09 14:00:00
5.4865;1.39308333333333;2024-02-09 14:15:00
4.6995;1.37983333333333;2024-02-09 14:30:00
4.7515;1.20775;2024-02-09 14:45:00
5.1145;1.445;2024-02-09 15:00:00
5.353;1.678;2024-02-09 15:15:00
4.991;1.29541666666667;2024-02-09 15:30:00
4.6715;1.03483333333333;2024-02-09 15:45:00
5.1835;1.52258333333333;2024-02-09 16:00:00
5.3815;2.27258333333333;2024-02-09 16:15:00
5.4175;2.27716666666667;2024-02-09 16:30:00
4.299;1.02791666666667;2024-02-09 16:45:00
4.357;0.803833333333334;2024-02-09 17:00:00
3.8235;0.467333333333333;2024-02-09 17:15:00
4.1865;0.253;2024-02-09 17:30:00
3.9675;0.267833333333333;2024-02-09 17:45:00
4.0305;0.0665;2024-02-09 18:00:00
3.731;0.09675;2024-02-09 18:15:00
3.321;0.0505;2024-02-09 18:30:00
2.8765;0.0345;2024-02-09 18:45:00
2.8805;0.0055;2024-02-09 19:00:00
3.249;0.0;2024-02-09 19:15:00
2.996;0.0;2024-02-09 19:30:00
2.728;0.0;2024-02-09 19:45:00
2.853;0.0;2024-02-09 20:00:00
2.7615;0.0;2024-02-09 20:15:00
2.5175;0.0;2024-02-09 20:30:00
2.534;0.0;2024-02-09 20:45:00
2.798;0.0;2024-02-09 21:00:00
2.591;0.0;2024-02-09 21:15:00
2.751;0.0;2024-02-09 21:30:00
2.962;0.0;2024-02-09 21:45:00
2.623;0.0;2024-02-09 22:00:00
2.975;0.0;2024-02-09 22:15:00
2.951;0.0;2024-02-09 22:30:00
2.057;0.0;2024-02-09 22:45:00
2.537;0.0;2024-02-09 23:00:00
3.5455;0.0;2024-02-09 23:15:00
3.2715;0.0;2024-02-09 23:30:00
2.402;0.0;2024-02-09 23:45:00
2.2245;0.0;2024-02-15 00:00:00
2.008;0.0;2024-02-15 00:15:00
1.912;0.0;2024-02-15 00:30:00
2.1245;0.0;2024-02-15 00:45:00
2.2195;0.0;2024-02-15 01:00:00
1.9425;0.0;2024-02-15 01:15:00
2.0645;0.0;2024-02-15 01:30:00
1.7375;0.0;2024-02-15 01:45:00
2.0865;0.0;2024-02-15 02:00:00
1.954;0.0;2024-02-15 02:15:00
2.408;0.0;2024-02-15 02:30:00
2.165;0.0;2024-02-15 02:45:00
1.946;0.0;2024-02-15 03:00:00
1.8105;0.0;2024-02-15 03:15:00
1.6375;0.0;2024-02-15 03:30:00
2.0115;0.0;2024-02-15 03:45:00
1.7275;0.0;2024-02-15 04:00:00
1.8025;0.0;2024-02-15 04:15:00
2.2955;0.0;2024-02-15 04:30:00
1.8975;0.0;2024-02-15 04:45:00
2.3575;0.0;2024-02-15 05:00:00
2.063;0.0;2024-02-15 05:15:00
5.528;0.0;2024-02-15 05:30:00
9.1685;0.0;2024-02-15 05:45:00
8.7925;0.0;2024-02-15 06:00:00
12.148;0.0;2024-02-15 06:15:00
12.041;0.0;2024-02-15 06:30:00
13.907;0.0;2024-02-15 06:45:00
11.964;0.0;2024-02-15 07:00:00
13.855;0.0;2024-02-15 07:15:00
14.176;0.0;2024-02-15 07:30:00
13.0575;0.0;2024-02-15 07:45:00
14.2845;0.0;2024-02-15 08:00:00
18.341;0.0;2024-02-15 08:15:00
23.858;0.0;2024-02-15 08:30:00
28.9115;0.0;2024-02-15 08:45:00
36.6685;0.159;2024-02-15 09:00:00
31.9185;0.83175;2024-02-15 09:15:00
29.2875;0.301333333333333;2024-02-15 09:30:00
30.905;1.311;2024-02-15 09:45:00
29.879;2.06175;2024-02-15 10:00:00
30.137;6.22766666666667;2024-02-15 10:15:00
34.533;9.49091666666667;2024-02-15 10:30:00
32.9005;1.17633333333333;2024-02-15 10:45:00
